Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
23	281.375	92.16146	500.0	193.0	500.0	0.0	500.0	500.0	281.375	500.0	45999	39.751682	12.843908	51.651318	-8.857114	39.751575	12.841549	51.5707	-7.4497766	-0.14858645	0.80822986	5.1474624	-8.460207	-40.24885	1.8079195	300.11169171333313
24	299.0	92.908554	500.0	207.0	452.6	74.545555	500.0	298.0	299.0	452.6	47999	40.01582	12.858546	51.981228	-7.483031	40.015717	12.857591	51.935978	-7.351393	-0.16261184	0.8068654	5.0566306	-7.543659	-40.482662	1.6777973	313.3853051662445
25	279.83334	64.01671	374.0	194.0	500.0	0.0	500.0	500.0	279.83334	500.0	49999	40.35609	12.727427	51.990143	-7.5951147	40.356094	12.725517	51.95256	-7.358672	-0.16905901	0.80125564	4.7248025	-7.1557817	-40.803444	1.6844783	324.28888273239136
26	316.85715	97.7598	500.0	197.0	291.3	55.52666	419.0	233.0	316.85715	291.3	51999	40.624237	12.676217	52.337906	-9.113479	40.624233	12.675319	52.10288	-8.588196	-0.17580037	0.8046705	4.2668543	-8.670237	-41.060604	1.6249826	336.93421506881714
27	388.6	84.23681	467.0	266.0	500.0	0.0	500.0	500.0	388.6	500.0	53999	40.859318	12.637859	52.421978	-7.382019	40.85944	12.637317	52.19768	-6.549109	-0.19190526	0.7948526	4.9031878	-8.6493635	-41.287647	1.5912205	349.6112205982208
28	384.4	92.77413	500.0	229.0	500.0	0.0	500.0	500.0	384.4	500.0	55999	41.125927	12.531807	52.49233	-7.000944	41.12592	12.531606	52.192013	-6.9018626	-0.20583384	0.77712935	5.6800947	-7.1978903	-41.534634	1.5617326	362.3784427642822
29	410.8	109.313126	500.0	271.0	500.0	0.0	500.0	500.0	410.8	500.0	57999	41.35956	12.527551	52.64264	-7.694081	41.359474	12.526996	52.31917	-6.5405335	-0.22878559	0.77279025	3.9039907	-7.918715	-41.753536	1.8236866	375.20877265930176
30	381.0	112.658775	500.0	195.0	500.0	0.0	500.0	500.0	381.0	500.0	59999	41.609856	12.425541	52.38344	-7.964469	41.6101	12.424118	52.475044	-9.2467	-0.22822219	0.7802144	4.6930037	-8.350742	-42.004795	1.7578542	387.57363080978394
31	389.75	101.78992	500.0	236.0	500.0	0.0	500.0	500.0	389.75	500.0	61999	41.798088	12.375582	52.691902	-6.8462615	41.798027	12.375081	52.395893	-7.3133254	-0.22626188	0.763571	3.874097	-8.159283	-42.17572	2.0909107	399.9427616596222
32	456.8	53.99037	500.0	375.0	500.0	0.0	500.0	500.0	456.8	500.0	63999	42.029694	12.221013	52.345303	-8.260641	42.02984	12.220166	52.266365	-9.595547	-0.23729344	0.7601977	4.2231917	-6.7723355	-42.407753	2.0302796	414.37402391433716
33	421.75	101.08505	500.0	253.0	500.0	0.0	500.0	500.0	421.75	500.0	65999	42.301403	12.0996	52.157513	-6.4452205	42.30159	12.099053	52.099586	-7.9777336	-0.26012182	0.7518262	4.9783125	-10.376753	-42.659298	2.1486027	427.82621598243713
34	490.6	18.8	500.0	453.0	500.0	0.0	500.0	500.0	490.6	500.0	67999	42.505383	12.002895	52.091915	-7.8415265	42.505424	12.0021305	52.04761	-9.22727	-0.24021505	0.75782007	3.978499	-8.269783	-42.84503	2.3990636	441.1402506828308
35	500.0	0.0	500.0	500.0	500.0	0.0	500.0	500.0	500.0	500.0	69999	42.7593	11.831776	52.153027	-5.9461765	42.7592	11.830818	52.17311	-7.048119	-0.24465862	0.75452065	4.706182	-6.6071835	-43.091595	2.4235024	454.23670172691345
36	374.4	112.44661	500.0	185.0	500.0	0.0	500.0	500.0	374.4	500.0	71999	42.907806	11.717355	52.177437	-8.13912	42.9081	11.715916	51.96284	-8.521449	-0.2845024	0.7255394	5.498642	-9.317426	-43.234406	2.7773395	467.3434283733368
37	340.0	131.16249	500.0	215.0	488.2	35.399998	500.0	382.0	340.0	488.2	73999	42.89181	11.654953	51.849358	-7.2414055	42.891838	11.653873	51.915382	-8.375411	-0.29383615	0.72919863	4.606885	-9.981602	-43.20055	2.7841	480.2743139266968
38	461.2	60.789474	500.0	342.0	500.0	0.0	500.0	500.0	461.2	500.0	75999	42.88708	11.663893	51.972298	-6.1786585	42.887188	11.662172	52.03148	-7.1239076	-0.29607317	0.7225862	4.765655	-7.5668826	-43.180702	2.9847848	493.52681708335876
39	381.4	116.86848	500.0	192.0	500.0	0.0	500.0	500.0	381.4	500.0	77999	42.932476	11.628983	51.964737	-6.7266436	42.932377	11.627227	51.77077	-6.5720415	-0.30038464	0.72384644	5.364063	-8.404759	-43.226887	2.295174	507.1104986667633
40	273.375	95.23515	500.0	186.0	500.0	0.0	500.0	500.0	273.375	500.0	79999	42.970753	11.578955	52.20568	-6.6338253	42.970665	11.577872	51.9842	-9.7753725	-0.28932014	0.7253014	6.383366	-7.410728	-43.266895	2.6121316	520.1371486186981
41	271.16666	50.56816	322.0	192.0	480.0	43.817806	500.0	360.0	271.16666	480.0	81999	42.92519	11.615235	52.167324	-6.375712	42.92526	11.615158	52.08435	-8.246434	-0.3165159	0.7166222	4.767412	-10.260315	-43.208866	2.840025	533.5979545116425
