Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	22.329546	10.387626	64.0	9.0	80.7	31.76177	141.0	48.0	22.329546	80.7	1999	3.0361466	1.2754743	6.1176705	-0.0631791	3.0345106	1.2802924	6.2244854	-0.12847704	-0.6409492	0.2919987	2.0536823	-4.946097	-3.1680386	0.289466	5.2563018798828125
2	21.98913	12.738588	67.0	8.0	208.2	45.338284	302.0	159.0	21.98913	208.2	3999	8.672727	3.0733497	15.581886	-2.9724424	8.673207	3.0774736	15.527113	-2.944235	-0.21260597	0.7521164	2.7494433	-8.635687	-9.014449	0.9231762	16.83903217315674
3	23.505882	16.036446	104.0	9.0	202.1	85.48971	408.0	117.0	23.505882	202.1	5999	15.265301	5.277044	23.753012	-15.17225	15.265633	5.285286	23.73117	-12.309231	0.097991385	0.86027485	4.806341	-9.874202	-16.02685	1.9064274	26.962133407592773
4	24.80247	13.454469	64.0	9.0	167.7	62.919075	336.0	111.0	24.80247	167.7	7999	21.217508	7.5090985	30.998137	-17.220707	21.217836	7.52155	31.044954	-14.548186	0.2541418	0.87701774	5.8872166	-8.559558	-22.372019	3.3221548	36.98518133163452
5	22.41573	14.184823	91.0	9.0	178.2	59.236477	345.0	133.0	22.41573	178.2	9999	26.700056	9.423633	37.219955	-25.16047	26.699987	9.440427	37.153473	-22.344183	0.3303033	0.8792575	6.0151067	-9.042071	-28.160324	5.1023297	47.39474678039551
6	143.14285	35.722855	252.0	97.0	148.5	26.833748	205.0	109.0	143.14285	148.5	11999	31.197483	10.926275	42.99753	-28.623863	31.197605	10.943761	42.804665	-26.986076	0.28516823	0.9145986	8.86993	-10.200927	-32.67377	5.987945	57.37688207626343
7	173.0	43.293922	286.0	118.0	141.7	28.210104	199.0	110.0	173.0	141.7	13999	34.145535	12.213256	45.280262	-56.187344	34.1456	12.232985	44.841614	-54.104057	0.21454553	0.9275496	22.15006	-8.143132	-35.496475	6.0469766	69.29336428642273
8	155.38461	41.738266	238.0	105.0	158.3	31.921936	243.0	117.0	155.38461	158.3	15999	35.806534	13.440243	47.309082	-51.43377	35.80556	13.459107	46.94504	-51.156548	0.14745852	0.9473728	31.584755	-8.342463	-37.029457	5.6317015	80.82189559936523
9	156.23077	34.730064	237.0	100.0	169.6	16.776175	203.0	147.0	156.23077	169.6	17999	36.760426	14.16315	48.61521	-33.57637	36.759922	14.177314	48.293076	-29.733051	0.109056406	0.9479296	18.64542	-8.458861	-37.872223	4.768916	92.44932341575623
10	157.25	22.94241	212.0	126.0	163.1	18.646448	193.0	129.0	157.25	163.1	19999	36.88877	14.936853	49.373753	-29.838799	36.888653	14.946475	49.67169	-27.314594	0.046124592	0.9066518	9.690508	-9.244015	-37.92068	4.19485	101.70754027366638
11	179.08333	21.538565	235.0	157.0	180.2	18.410868	202.0	137.0	179.08333	180.2	21999	37.124844	14.974665	49.7984	-25.80672	37.12442	14.983539	50.04968	-23.148848	0.0071731135	0.886476	6.161687	-7.5105147	-38.079697	3.5133781	111.78271651268005
12	180.63637	35.173008	265.0	133.0	189.1	29.293173	267.0	146.0	180.63637	189.1	23999	37.3013	14.728723	49.912422	-18.495537	37.30122	14.732715	50.257492	-16.474197	-0.015262972	0.8727172	6.399367	-8.376373	-38.19143	3.2082245	124.98416829109192
13	191.0	39.29631	294.0	128.0	201.2	33.84021	278.0	169.0	191.0	201.2	25999	37.53577	14.2559805	50.127823	-11.312736	37.535187	14.259641	50.590916	-10.166336	-0.04552355	0.8583546	4.3526363	-7.181202	-38.340664	3.0690014	139.43610429763794
14	185.0	24.04163	235.0	146.0	194.3	23.541666	233.0	159.0	185.0	194.3	27999	37.59203	13.866443	50.164948	-8.626164	37.592705	13.868807	50.48688	-7.7902713	-0.05902117	0.8481112	4.381163	-9.173258	-38.343906	2.8778653	152.33754634857178
