Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	22.545454	12.628349	76.0	10.0	182.2	13.347659	199.0	157.0	22.545454	182.2	1999	3.082878	1.2832586	5.99555	-0.14941871	3.0840418	1.2808819	5.927181	-0.012738775	-0.6102259	0.39929086	2.437284	-7.7585793	-3.2262216	0.29390365	5.534864902496338
2	22.573034	11.382904	87.0	10.0	231.0	56.1498	367.0	174.0	22.573034	231.0	3999	8.87185	3.0991216	16.668673	-1.8585691	8.871906	3.0952635	16.39578	-2.0186687	-0.13086908	0.8786918	3.5080042	-6.914975	-9.259173	1.0234481	16.509044408798218
3	20.37755	10.065617	56.0	9.0	215.3	66.46059	346.0	144.0	20.37755	215.3	5999	15.731811	5.1786513	24.590622	-4.9547863	15.731546	5.1709003	24.468466	-4.5966163	0.1039035	0.8930251	4.3243923	-9.086649	-16.554512	2.5418775	27.66649603843689
4	22.054945	12.585848	89.0	9.0	149.2	28.237564	199.0	115.0	22.054945	149.2	7999	21.909418	7.2989182	32.472473	-8.512578	21.909027	7.2901826	31.789038	-9.157333	0.18290527	0.8426062	5.695574	-7.728919	-23.113007	4.39392	40.04957151412964
5	22.166666	10.99419	71.0	8.0	204.5	45.354713	281.0	136.0	22.166666	204.5	9999	27.34703	9.378895	38.42171	-9.692279	27.3461	9.368966	38.480595	-9.815403	0.26163226	0.84856117	6.745939	-7.7235985	-28.882244	6.2876883	50.905837535858154
6	177.2	73.4109	275.0	13.0	237.5	63.432247	395.0	158.0	177.2	237.5	11999	31.990501	10.97801	43.879772	-11.294733	31.989016	10.970838	43.766994	-10.835703	0.27131617	0.8673462	5.447717	-9.041359	-33.64427	7.2325325	62.013678312301636
7	221.0	47.212288	294.0	162.0	189.9	17.432442	216.0	159.0	221.0	189.9	13999	35.471863	12.118145	46.83668	-24.360163	35.47121	12.111911	46.72421	-30.221018	0.22133262	0.9045163	18.010738	-11.907492	-36.997925	7.1744585	73.53057408332825
8	193.1	52.72656	307.0	133.0	192.6	44.703915	282.0	115.0	193.1	192.6	15999	37.552635	13.351437	49.4984	-25.280577	37.55191	13.346549	49.01881	-26.479908	0.19912072	0.92370135	30.7158	-9.98785	-38.935776	6.6751857	84.51308417320251
9	189.27272	44.59941	250.0	115.0	207.7	88.456825	408.0	116.0	189.27272	207.7	17999	39.1484	13.873567	51.752323	-15.409493	39.147152	13.871577	50.979843	-15.716214	0.13428287	0.9029114	5.6877875	-8.632973	-40.403687	6.119178	95.43945908546448
10	153.46153	41.775253	262.0	103.0	181.1	36.478622	266.0	137.0	153.46153	181.1	19999	39.962624	14.285233	52.603138	-11.086388	39.961796	14.285215	52.288364	-11.425657	0.08987621	0.8953193	4.9444423	-7.1997895	-41.110603	5.3093076	106.19604229927063
